url	Categories	Products	Industries	Internals
https://blog.adobe.com/es/publish/2021/04/15/hacia-un-futuro-mas-diverso-e-inclusivo-con-los-emoji.html	"Diversidad e inclusión, Creatividad, Diseño, Tipografía, Comunidad"	"Tipografía, Creative Cloud"	"High Tech, Media & Entertainment"	"Adobe España, Creative Cloud"
https://blog.adobe.com/es/publish/2021/03/10/adobe-video-novedades-marzo-2021.html	"Novedades, Audio y video"	"Creative Cloud, After Effects, Premiere Pro, Premiere Rush"	""	"Adobe España, Serie de contenido, Creative Cloud"
https://blog.adobe.com/es/publish/2021/03/10/photoshop-llega-a-los-mac-con-apple-silicon.html	"Novedades, Creatividad, Transformación digital"	"Creative Cloud, Photoshop"	""	"Adobe España, Serie de contenido, Creative Cloud"
https://blog.adobe.com/es/publish/2021/02/18/5-ideas-creativas-con-photoshop.html	""	"Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2021/02/16/flujos-de-trabajo-para-diseno-de-productos-iteraciones-creativas.html	""	"Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2021/02/11/por-que-ser-un-ciudadano-global-incrementa-la-creatividad.html	""	"Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2021/02/10/feliz-dia-de-san-valentin-los-insiders-de-adobe-describen-su-experiencia-sobre-el-amor-a-traves-love-in-lockdown.html	"Inspiración, Creatividad, Inspiración creativa y tendencias"	"Creative Cloud"	""	"Adobe España, Serie de contenido, Creative Cloud"
https://blog.adobe.com/es/publish/2021/02/09/photoshop-illustrator-y-fresco-incorporan-la-colaboracion-en-documentos.html	"Novedades, Creatividad, Fotografía, Ilustración"	"Creative Cloud, Fresco, Illustrator, Photoshop"	""	"Adobe España, Serie de contenido, Creative Cloud"
https://blog.adobe.com/es/publish/2021/02/09/romanticismo-austero-la-tendencia-de-diseno-de-2021-de-los-suenos-cottagecore.html	"Diseño"	""	""	""
https://blog.adobe.com/es/publish/2021/02/08/guia-para-crear-nombres-para-empresas.html	"Tipografía"	"Tipografía, Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2021/02/04/aprender-en-internet-sobre-los-programas-de-adobe-es-facil-con-estos-cursos-online.html	""	"After Effects, InDesign, Lightroom, Photoshop, Premiere Pro, Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2021/02/02/como-superar-la-ansiedad-creativa-5-aplicaciones-que-te-ayudaran.html	""	"Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2021/01/28/positiva-y-colorida-colores-que-animan-la-tendencia-visual-de-2021-de-adobe-stock.html	"Creatividad, Diseño, Fotografía"	"Stock"	""	""
https://blog.adobe.com/es/publish/2021/01/27/celebramos-la-creatividad-en-el-cine.html	"Audio y video, Novedades"	"Creative Cloud, Premiere Pro, After Effects, Photoshop"	""	"Adobe España, Creative Cloud"
https://blog.adobe.com/es/publish/2021/01/27/como-tener-un-curriculum-vitae-creativo-e-impactante-gratis-plantillas.html	""	"Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2021/01/25/4-tendencias-de-diseno-de-adobe-stock-para-2021-respuestas-esteticas-a-la-confusion.html	"Creatividad, Diseño"	"Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2021/01/22/asi-se-definiran-los-documentos-digitales-en-el-teletrabajo-por-forrester-consulting.html	""	"Document Cloud"	""	"Document Cloud"
https://blog.adobe.com/es/publish/2021/01/21/imagenes-y-sonidos-animacion-y-audio-de-adobe-stock-tendencias-para-2021.html	""	"Stock"	""	""
https://blog.adobe.com/es/publish/2021/01/20/tricks-tips-de-diseno-con-nubikini.html	""	"Illustrator, Photoshop, Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2021/01/18/aqui-te-mostramos-la-evolucion-de-la-conectividad-del-2020.html	""	"Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2021/01/14/5-tips-que-no-sabias-de-tu-pdf-interactivo.html	""	"Document Cloud"	""	"Document Cloud"
https://blog.adobe.com/es/publish/2021/01/12/tendencias-creativas-de-adobe-stock-para-2021-aumento-de-la-resiliencia.html	"Creatividad, Diseño, Fotografía"	"Creative Cloud, Stock"	""	"COVID-19, Creative Cloud"
https://blog.adobe.com/es/publish/2021/01/12/tendencias-creativas-2021-de-adobe-stock.html	"Inspiración creativa y tendencias, Novedades"	"Creative Cloud, Stock"	""	"Adobe España, Creative Cloud, Tendencias visuales"
https://blog.adobe.com/es/publish/2021/01/11/descubre-la-importancia-del-backup-y-como-lograrlo-con-creative-cloud.html	""	"Creative Cloud, Illustrator, InDesign, Photoshop, Premiere Pro"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2021/01/07/design-snacks-hacks-imperdibles-de-adobe-premiere-pro.html	""	"Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2021/01/05/como-lograr-renders-de-productos-de-alta-calidad-con-substance.html	""	"Photoshop, Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2020/12/30/tendencias-del-ano-y-pantone-2021.html	""	"Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2020/12/28/aprovecha-las-tendencias-empresariales-2021-con-estos-tutoriales.html	"Transformación digital"	"Document Cloud"	""	"Document Cloud"
https://blog.adobe.com/es/publish/2020/12/23/guia-descargable-para-la-gestion-de-contenido-en-la-nube.html	""	"Portfolio, Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2020/12/22/postal-navidena-en-adobe-illustrator.html	"Diseño, Ilustración"	"Fresco, Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2020/12/22/ahora-en-beta-adobe-premiere-pro-premiere-rush-y-audition-para-apple-m1-systems.html	"Audio y video, Novedades"	"Creative Cloud, Premiere Pro, Premiere Rush"	""	"Adobe España, Serie de contenido, Creative Cloud"
https://blog.adobe.com/es/publish/2020/12/21/lightroom-mobile-vs-lightroom-classic.html	""	"Adobe Sensei, Creative Cloud"	""	"Adobe Sensei, Creative Cloud"
https://blog.adobe.com/es/publish/2020/12/20/crea-el-efecto-pixel-art-en-illustrator.html	""	"Photoshop, Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2020/12/19/como-hacer-el-efecto-de-retrato-con-texto.html	""	"Photoshop, Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2020/12/18/campus-creativo-la-oferta-de-valor-de-las-instituciones-educativas.html	""	"Creative Cloud"	""	"Alfabetización digital, Creative Cloud"
https://blog.adobe.com/es/publish/2020/12/10/pantone-color-del-ano-2021.html	"Diseño"	""	""	""
https://blog.adobe.com/es/publish/2020/12/01/paso-a-paso-para-vender-tus-ideas-visuales-y-creativas.html	""	"Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2020/11/30/design-snacks-10-hacks-de-lightroom.html	""	"Adobe Sensei, Creative Cloud"	""	"Adobe Sensei, Creative Cloud"
https://blog.adobe.com/es/publish/2020/11/27/como-recolectar-firmas-en-document-cloud.html	""	"Document Cloud"	""	"Document Cloud"
https://blog.adobe.com/es/publish/2020/11/26/como-crear-un-carrusel-para-instagram-en-photoshop.html	""	"Photoshop, Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2020/11/25/como-combinar-y-comentar-archivos-de-google-drive-con-document-cloud.html	""	"Document Cloud"	""	"Document Cloud"
https://blog.adobe.com/es/publish/2020/11/24/aprende-a-crear-increibles-personajes-con-photoshop-y-sus-funciones-de-3d.html	""	"Photoshop, Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2020/11/23/como-convertir-archivos-de-google-drive-con-document-cloud.html	""	"Document Cloud"	""	"Document Cloud"
https://blog.adobe.com/es/publish/2020/11/21/lettering-aplicaciones-comerciales-para-tu-marca.html	"Diseño, Ilustración"	"Fresco, Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2020/11/20/5-trucos-de-alfabetizacion-creativa-y-su-importancia-en-el-mercado-laboral.html	"Creatividad"	"Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2020/11/18/design-snacks-10-hacks-de-illustrator.html	"Diseño, Ilustración"	"Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2020/11/17/novedades-exportacion-rapida-de-plantillas-de-premiere-pro-y-reemplazo-de-elementos-multimedia-en-motion-graphics.html	""	""	""	""
https://blog.adobe.com/es/publish/2020/11/11/retos-y-consejos-de-la-nueva-normalidad-empresarial.html	"Adobe MAX"	"Document Cloud"	""	"Document Cloud"
https://blog.adobe.com/es/publish/2020/11/09/empoderamiento-de-tu-equipo-creativo-para-vender-ideas-como-estos-tres-famosos.html	"Creatividad"	"Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2020/10/31/sustitucion-de-cielo-creativa-paso-por-paso.html	""	"Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2020/10/29/adobe-xd-y-octubre-un-salto-sin-precedentes-en-el-2020.html	""	"Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2020/10/21/lanzamiento-de-adobe-xd-en-octubre-de-2020-llega-al-final-mas-rapido-con-transformaciones-3d-bibliotecas-de-creative-cloud-visual-studio-code-y-mas.html	"Adobe MAX, Novedades"	"Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2020/10/20/una-nueva-version-de-creative-cloud-para-afrontar-los-retos-del-2020.html	""	""	""	""
https://blog.adobe.com/es/publish/2020/10/20/presentamos-illustrator-en-el-ipad-inspirate-en-todas-partes.html	"Adobe MAX, Novedades, Events"	"Creative Cloud, Illustrator"	""	"Adobe España, Creative Cloud, Serie de contenido"
