url	Categories	Products	Industries	Internals
https://blog.adobe.com/en/publish/2021/12/06/the-importance-of-creative-hobbies	"Creativity, Insights & Inspiration, Photography"	"Creative Cloud, Photoshop"	""	"SEO Features, Creative Cloud"
https://blog.adobe.com/en/publish/2021/12/06/adobe-singapore-best-workplaces	"Adobe Life, Adobe Culture, Adobe Life - Asia"	""	""	"Awards and Recognition, Brand"
https://blog.adobe.com/en/publish/2021/12/06/educations-digital-transformation-opportunity-current-state-whats-to-come	"Digital Transformation, Insights & Inspiration"	"Document Cloud, Acrobat, Scan, Sign"	"Education"	"Document Cloud"
https://blog.adobe.com/en/publish/2021/12/06/tennis-tenacity-collaboration-att-transforms-digital-content-delivery	"Customer Stories, Digital Transformation"	"Experience Cloud, Workfront"	"Media & Entertainment"	"Experience Cloud"
https://blog.adobe.com/en/publish/2021/12/03/adobe-helps-take-the-complexity-out-of-arpa	"Digital Transformation, Insights & Inspiration, News"	"Experience Cloud"	"Government"	"Experience Cloud, no-interlinks"
https://blog.adobe.com/en/publish/2021/12/03/a-haunting-in-hawaii-with-christopher-makoto-yogis-i-was-a-simple-man	"Creativity, Customer Stories"	"Creative Cloud, Premiere Pro"	"Media & Entertainment"	"How I Cut This, Creative Cloud"
https://blog.adobe.com/en/publish/2021/12/03/in-2022-customer-experience-is-personal-hybrid-and-built-on-trust	"Customer Experience, Insights & Inspiration, Digital Transformation"	"Experience Cloud"	""	"Experience Cloud"
https://blog.adobe.com/en/publish/2021/12/03/scalable-personalization-bringing-equitable-government-services-to-more-citizens	"Digital Transformation, Analytics"	"Experience Cloud, Experience Platform, Analytics, Campaign, Experience Manager, Marketo Engage, Target"	"Government"	"no-interlinks, Experience Cloud"
https://blog.adobe.com/en/publish/2021/12/03/top-3-visual-trends-of-2021	"Creativity, Insights & Inspiration, Trends & Research"	"Creative Cloud"	""	"Behance, Creative Cloud"
https://blog.adobe.com/en/publish/2021/12/02/adobe-max-collaborating-to-create-joy	"Adobe MAX, Creativity, Art, Creative Inspiration & Trends, Illustration"	""	""	"Adobe MAX 2021, APAC"
https://blog.adobe.com/en/publish/2021/12/02/adobe-indias-interns-making-connection-professionals-with-disabilities	"University, Adobe Culture, Adobe Life, Adobe Life - Asia, Employee Impact, Responsibility, Diversity & Inclusion"	""	""	"Brand, #AdobeForAll"
https://blog.adobe.com/en/publish/2021/12/02/how-to-combat-creative-burnout	"Creativity, Photography, Future of Work, Productivity, Trends & Research"	"Creative Cloud, Photoshop"	""	"Creative Cloud, SEO Features"
https://blog.adobe.com/en/publish/2021/12/02/podcast-vs-youtube-where-to-share-your-story-and-why	"Creativity, Insights & Inspiration, Video & Audio"	"Creative Cloud, Premiere Pro"	"Media & Entertainment"	"SEO Features, Creative Cloud"
https://blog.adobe.com/en/publish/2021/12/02/radhi-devlukia-shetty-on-empowering-others-to-create-meaningful-everyday-moments	"Digital Transformation, Insights & Inspiration, Productivity"	"Document Cloud, Acrobat"	"Media & Entertainment, Retail"	"Diverse Voices, Document Cloud"
https://blog.adobe.com/en/publish/2021/12/01/the-impact-of-technology-on-photography	"Future of Work, Photography, Productivity, Trends & Research"	"Photoshop, Creative Cloud"	""	"Creative Cloud, SEO Features"
https://blog.adobe.com/en/publish/2021/12/01/nine-entertainments-resilient-adobe-stock-workflow-helps-channel-thrive	"Customer Stories, Insights & Inspiration, Creativity, Digital Transformation"	"Creative Cloud, Audition, Illustrator, Photoshop, Premiere Pro, Stock"	"Media & Entertainment"	"Creative Cloud"
https://blog.adobe.com/en/publish/2021/11/30/how-alex-elle-guides-others-to-walk-in-their-power	"Insights & Inspiration, Digital Transformation"	"Document Cloud, Acrobat"	"Media & Entertainment"	"Diverse Voices, Document Cloud"
https://blog.adobe.com/en/publish/2021/11/30/macro-food-photography	"Creativity, Insights & Inspiration, Photography"	"Creative Cloud, Lightroom, Photoshop"	""	"Creative Cloud"
https://blog.adobe.com/en/publish/2021/11/30/make-disability-inclusion-the-norm	"Adobe Life, Adobe Culture, Adobe Life - Asia, Adobe Life - Europe, Employee Impact, Responsibility, Diversity & Inclusion"	""	""	"#AdobeForAll, Brand, APAC"
https://blog.adobe.com/en/publish/2021/11/30/repurposing-your-college-experiences-on-your-resume	"Productivity"	"Document Cloud, Acrobat"	"Education"	"Document Cloud, SEO Features"
https://blog.adobe.com/en/publish/2021/11/30/how-to-incorporate-customer-testimonials-on-your-website	"Creativity, Insights & Inspiration, Video & Audio"	"Creative Cloud, Premiere Pro"	""	"Creative Cloud"
https://blog.adobe.com/en/publish/2021/11/30/celebrating-exceptional-educators-times-higher-education-awards	"News, University"	""	"Education"	"UK"
https://blog.adobe.com/en/publish/2021/11/30/adobe-consumers-spent-10-8-billion-on-cyber-monday-109-8-billion-so-far-this-holiday-season	"Trends & Research, News, Insights & Inspiration, Analytics"	"Experience Cloud, Analytics"	"Retail"	"Experience Cloud"
https://blog.adobe.com/en/publish/2021/11/29/adobe-celebrates-international-day-of-persons-with-disabilities-2021	"Diversity & Inclusion, Responsibility"	""	""	"Diverse Voices, #AdobeForAll, Brand"
https://blog.adobe.com/en/publish/2021/11/29/attorney-marche-robinson-on-designing-her-work-and-her-world	"Digital Transformation, Insights & Inspiration, Customer Stories"	"Document Cloud, Acrobat, Illustrator"	""	"Document Cloud"
https://blog.adobe.com/en/publish/2021/11/29/zilla-is-ready-to-get-animated-free-character-animator-puppet-new-puppet-maker-style	"Creativity, Insights & Inspiration, Video & Audio"	"Creative Cloud, Character Animator"	"Media & Entertainment"	"Creative Cloud"
https://blog.adobe.com/en/publish/2021/11/29/create-your-story-inspired-by-west-side-story	"Creativity, Creative Inspiration & Trends, News, Insights & Inspiration"	"Creative Cloud, Fresco, Illustrator, Photoshop"	""	"Diverse Voices, Creative Cloud"
https://blog.adobe.com/en/publish/2021/11/24/four-ways-to-reduce-security-risks-using-software-updates-and-deployment-resources	"Data & Privacy, News"	"Acrobat, Document Cloud"	"Government"	"Brand, Document Cloud"
https://blog.adobe.com/en/publish/2021/11/24/preventing-plagiarism-a-guide-for-students-and-educators	"Insights & Inspiration, Trends & Research"	"Document Cloud, Acrobat"	""	"Document Cloud"
https://blog.adobe.com/en/publish/2021/11/24/3d-product-visualization-bastiaan-geluk-max-2021	"Customer Stories, Insights & Inspiration, Digital Transformation, Adobe MAX"	"Creative Cloud, Substance"	""	"Adobe MAX 2021, Creative Cloud"
https://blog.adobe.com/en/publish/2021/11/23/adobe-mlb-partner-next-gen-fan-experiences	"News, Digital Transformation, Leadership"	"Creative Cloud, Sign, Experience Cloud"	""	"Creative Cloud, Experience Cloud, Brand"
https://blog.adobe.com/en/publish/2021/11/23/power-of-shadowing-9-inspiring-takeaways	"Career Advice, Adobe Life, Adobe Culture, Adobe Life - Europe, Employee Impact"	""	""	"Brand"
https://blog.adobe.com/en/publish/2021/11/23/how-to-send-documents-and-information-with-enhanced-security	"Digital Transformation, Responsibility"	"Document Cloud, Acrobat, Sign"	""	"Document Cloud"
https://blog.adobe.com/en/publish/2021/11/23/the-stories-behind-tom-bradys-super-bowls	"Customer Stories, Insights & Inspiration, News, Creativity"	"Creative Cloud, Premiere Pro"	"Media & Entertainment"	"How I Cut This, Creative Cloud"
https://blog.adobe.com/en/publish/2021/11/22/adobe-sign-in-veeva-vault-creating-frictionless-connected-digital-document-experiences	"News, Digital Transformation"	"Document Cloud, Sign"	"Healthcare"	"Document Cloud"
https://blog.adobe.com/en/publish/2021/11/22/create-holiday-patterns-with-fresco-and-capture	"Creativity, Insights & Inspiration, Illustration"	"Creative Cloud, Fresco"	""	"Creative Cloud"
https://blog.adobe.com/en/publish/2021/11/22/edumax-2021-recap-together-for-student-success-around-globe	""	"Creative Cloud, Photoshop, Premiere Rush, Spark, Stock"	"Education"	"Digital Literacy, Creative Cloud"
https://blog.adobe.com/en/publish/2021/11/19/5-reasons-why-automakers-need-a-marketing-system-of-record	"Insights & Inspiration, Digital Transformation"	"Experience Cloud"	""	"Experience Cloud"
https://blog.adobe.com/en/publish/2021/11/19/7-tips-to-building-strong-relationships-with-clients-in-a-remote-environment	"Digital Transformation, Insights & Inspiration, Future of Work, Productivity"	"Document Cloud, Sign"	""	"Document Cloud, SEO Features"
https://blog.adobe.com/en/publish/2021/11/19/creating-a-mobile-first-design-for-your-website	"Insights & Inspiration, Digital Transformation, Productivity, Future of Work"	"Document Cloud, Sign"	""	"Document Cloud, SEO Features"
https://blog.adobe.com/en/publish/2021/11/19/digital-transformation-in-government-forrester-study-reveals-the-future-is-bright	"Digital Transformation, Insights & Inspiration, Trends & Research"	"Document Cloud, Sign"	"Government"	"Document Cloud"
https://blog.adobe.com/en/publish/2021/11/18/adobe-and-mastercard-solutions-accelerate-digital-payouts	"Digital Transformation, News"	"Sign, Document Cloud"	"Financial Services"	"Document Cloud"
https://blog.adobe.com/en/publish/2021/11/18/adobe-digital-price-index-online-prices-up-1-9-in-october-as-holiday-discounts-weaken	"Trends & Research, News, Insights & Inspiration, Analytics"	"Experience Cloud, Analytics"	"Retail"	"Experience Cloud"
https://blog.adobe.com/en/publish/2021/11/18/close-out-the-year-with-some-fresh-new-faces	"Creativity, Insights & Inspiration, Typography"	"Typography, Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/en/publish/2021/11/18/global-hybrid-teams-why-flexible-talent-is-the-key-to-breakthrough-creative-work	"Adobe MAX, Insights & Inspiration"	"Creative Cloud"	""	"Adobe MAX 2021, Creative Cloud"
https://blog.adobe.com/en/publish/2021/11/18/military-families-are-serving-too	"Adobe Life, Adobe Culture, Diversity & Inclusion, Responsibility"	""	""	"#AdobeForAll"
https://blog.adobe.com/en/publish/2021/11/17/digital-safety-and-security-tips-for-college-students-and-teens	"Insights & Inspiration, Data & Privacy, Security"	"Document Cloud, Acrobat"	""	"Document Cloud, SEO Features"
https://blog.adobe.com/en/publish/2021/11/17/exploring-documentation-heavy-industries-in-a-digital-world	"Insights & Inspiration, Digital Transformation, Trends & Research"	"Document Cloud, Sign"	""	"Document Cloud, SEO Features"
https://blog.adobe.com/en/publish/2021/11/17/how-to-manage-your-legal-business-documents	"Future of Work, Insights & Inspiration, Digital Transformation, Productivity"	"Document Cloud, Sign"	""	"SEO Features, Document Cloud"
https://blog.adobe.com/en/publish/2021/11/16/advance-your-creative-journey-with-proart-studiobook-zenbook-pro-duo-or-vivobook-pro	"Insights & Inspiration"	"Creative Cloud, Photoshop, After Effects"	""	"Adobe MAX 2021, Creative Cloud"
